catalog_id,title,published_title,url,year,acta_number,section,part,publication_date,publication_date_raw,source_type,source_page_url,listing_status,first_seen_at,last_seen_at,page_occurrences,alternate_urls
2020-semnnimb-17-completa,Acta No 17 de 2020 SEMNNIMB,Acta No 17 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90290,2020,17,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-18-completa,Acta No 18 de 2020 SEMNNIMB,Acta No 18 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90275,2020,18,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-19-completa,Acta No 19 de 2020 SEMNNIMB,Acta No 19 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/122446,2020,19,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-20-completa,Acta No 20 de 2020 SEMNNIMB,Acta No 20 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta_20no_2020_20de_202020_20semnnimbpdf-1,2020,20,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-21-completa,Acta No 21 de 2020 SEMNNIMB,Acta No 21 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124612,2020,21,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-22-completa,Acta No 22 de 2020 SEMNNIMB,Acta No 22 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124447,2020,22,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-23-completa,Acta No 23 de 2020 SEMNNIMB,Acta No 23 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123248,2020,23,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2020-semnnimb-24-completa,Acta No 24 de 2020 SEMNNIMB,Acta No 24 de 2020 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123558,2020,24,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-primera-parte,Acta No 01 de 2021 SEMNNIMB Primera Parte,Acta No 01 de 2021 SEMNNIMB Primera Parte,https://www.invima.gov.co/biblioteca/download/123543,2021,01,SEMNNIMB,Primera Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-segunda-parte,Acta No 01 de 2021 SEMNNIMB Segunda Parte,Acta No 01 de 2021 SEMNNIMB Segunda Parte,https://www.invima.gov.co/biblioteca/download/124276,2021,01,SEMNNIMB,Segunda Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimotercera-parte,Acta No 01 de 2021 SEMNNIMB Decimotercera Parte,Acta No 01 de 2021 SEMNNIMB Decimotercera Parte,https://www.invima.gov.co/biblioteca/download/123254,2021,01,SEMNNIMB,Decimotercera Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-tercera-parte,Acta No 01 de 2021 SEMNNIMB Tercera Parte,Acta No 01 de 2021 SEMNNIMB Tercera Parte,https://www.invima.gov.co/biblioteca/download/122624,2021,01,SEMNNIMB,Tercera Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-cuarta-parte,Acta No 01 de 2021 SEMNNIMB Cuarta Parte,Acta No 01 de 2021 SEMNNIMB Cuarta Parte,https://www.invima.gov.co/biblioteca/download/124240,2021,01,SEMNNIMB,Cuarta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimocuarta-parte,Acta No 01 de 2021 SEMNNIMB Decimocuarta Parte,Acta No 01 de 2021 SEMNNIMB Decimocuarta Parte,https://www.invima.gov.co/biblioteca/download/124101,2021,01,SEMNNIMB,Decimocuarta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimoquinta-parte,Acta No 01 de 2021 SEMNNIMB Decimoquinta Parte,Acta No 01 de 2021 SEMNNIMB Decimoquinta Parte,https://www.invima.gov.co/biblioteca/download/122702,2021,01,SEMNNIMB,Decimoquinta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-quinta-parte,Acta No 01 de 2021 SEMNNIMB Quinta Parte,Acta No 01 de 2021 SEMNNIMB Quinta Parte,https://www.invima.gov.co/biblioteca/download/123589,2021,01,SEMNNIMB,Quinta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimosexta-parte,Acta No 01 de 2021 SEMNNIMB Decimosexta Parte,Acta No 01 de 2021 SEMNNIMB Decimosexta Parte,https://www.invima.gov.co/biblioteca/download/124533,2021,01,SEMNNIMB,Decimosexta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-sexta-parte,Acta No 01 de 2021 SEMNNIMB Sexta Parte,Acta No 01 de 2021 SEMNNIMB Sexta Parte,https://www.invima.gov.co/biblioteca/download/122583,2021,01,SEMNNIMB,Sexta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimoseptima-parte,Acta No 01 de 2021 SEMNNIMB Decimoséptima Parte,Acta No 01 de 2021 SEMNNIMB Decimoséptima Parte,https://www.invima.gov.co/biblioteca/download/123209,2021,01,SEMNNIMB,Decimoséptima Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-septima-parte,Acta No 01 de 2021 SEMNNIMB Séptima Parte,Acta No 01 de 2021 SEMNNIMB Séptima Parte,https://www.invima.gov.co/biblioteca/download/124610,2021,01,SEMNNIMB,Séptima Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimoctava-parte,Acta No 01 de 2021 SEMNNIMB Decimoctava Parte,Acta No 01 de 2021 SEMNNIMB Decimoctava Parte,https://www.invima.gov.co/biblioteca/download/123057,2021,01,SEMNNIMB,Decimoctava Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-octava-parte,Acta No 01 de 2021 SEMNNIMB Octava Parte,Acta No 01 de 2021 SEMNNIMB Octava Parte,https://www.invima.gov.co/biblioteca/download/124154,2021,01,SEMNNIMB,Octava Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decimonovena-parte,Acta No 01 de 2021 SEMNNIMB Decimonovena Parte,Acta No 01 de 2021 SEMNNIMB Decimonovena Parte,https://www.invima.gov.co/biblioteca/download/124172,2021,01,SEMNNIMB,Decimonovena Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-novena-parte,Acta No 01 de 2021 SEMNNIMB Novena Parte,Acta No 01 de 2021 SEMNNIMB Novena Parte,https://www.invima.gov.co/biblioteca/download/124327,2021,01,SEMNNIMB,Novena Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-decima-parte,Acta No 01 de 2021 SEMNNIMB Décima Parte,Acta No 01 de 2021 SEMNNIMB Décima Parte,https://www.invima.gov.co/biblioteca/download/123299,2021,01,SEMNNIMB,Décima Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-duodecima-parte,Acta No 01 de 2021 SEMNNIMB Duodécima Parte,Acta No 01 de 2021 SEMNNIMB Duodécima Parte,https://www.invima.gov.co/biblioteca/download/123392,2021,01,SEMNNIMB,Duodécima Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-01-undecima-parte,Acta No 01 de 2021 SEMNNIMB Undécima Parte,Acta No 01 de 2021 SEMNNIMB Undécima Parte,https://www.invima.gov.co/biblioteca/download/124457,2021,01,SEMNNIMB,Undécima Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-02-completa,Acta No 02 de 2021 SEMNNIMB,Acta No 02 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/105030,2021,02,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-03-completa,Acta No 03 de 2021 SEMNNIMB,Acta No 03 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90232,2021,03,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-04-completa,Acta No 04 de 2021 SEMNNIMB,Acta No 04 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/122620,2021,04,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-05-completa,Acta No 05 de 2021 SEMNNIMB,Acta No 05 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/123217,2021,05,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-06-completa,Acta No 06 de 2021 SEMNNIMB,Acta No 06 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124053,2021,06,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-07-completa,Acta No 07 de 2021 SEMNNIMB,Acta No 07 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-07-2021-sala-especializada-moleculas-nuevas,2021,07,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-08-completa,Acta No 08 de 2021 SEMNNIMB,Acta No 08 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/90242,2021,08,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-09-completa,Acta No 09 de 2021 SEMNNIMB,Acta No 09 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-09-2021-sala-especializada-moleculas-nuevas,2021,09,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-10-completa,Acta No 10 de 2021 SEMNNIMB,Acta No 10 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124390,2021,10,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-11-completa,Acta No 11 de 2021 SEMNNIMB,Acta No 11 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124561,2021,11,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-12-completa,Acta No 12 de 2021 SEMNNIMB,Acta No 12 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/122435,2021,12,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-13-completa,Acta No 13 de 2021 SEMNNIMB,Acta No 13 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/download/124519,2021,13,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-14-completa,Acta No 14 de 2021 SEMNNIMB,Acta No 14 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta_20no_2014_20de_202021_20semnnimbpdf,2021,14,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-15-completa,Acta No 15 de 2021 SEMNNIMB,Acta No 15 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-15-2021-sala-especializada-moleculas-nuevas,2021,15,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-16-completa,Acta No 16 de 2021 SEMNNIMB,Acta No 16 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta_20no_2016_20de_202021_20semnnimbdocx_1pdf,2021,16,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-17-completa,Acta No 17 de 2021 SEMNNIMB,Acta No 17 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta_20no_2017_20de_202021_20semnnimbpdf,2021,17,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-18-completa,Acta No 18 de 2021 SEMNNIMB,Acta No 18 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-18-2021-sala-especializada-moleculas-nuevas,2021,18,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-19-completa,Acta No 19 de 2021 SEMNNIMB,Acta No 19 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-19-2021-sala-especializada-moleculas-nuevas,2021,19,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-20-completa,Acta No 20 de 2021 SEMNNIMB,Acta No 20 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta_20no_2020_20de_202021_20semnnimbpdf,2021,20,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2021-semnnimb-21-completa,Acta No 21 de 2021 SEMNNIMB,Acta No 21 de 2021 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-21-2021-sala-especializada-moleculas-nuevas,2021,21,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-primera-parte,Acta No 01 de 2022 SEMNNIMB Primera Parte,Acta No 01 de 2022 SEMNNIMB Primera Parte,https://www.invima.gov.co/biblioteca/download/90179,2022,01,SEMNNIMB,Primera Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-segunda-parte,Acta No 01 de 2022 SEMNNIMB Segunda Parte,Acta No 01 de 2022 SEMNNIMB Segunda Parte,https://img.lalr.co/cms/2022/01/28104555/Acta-No.-01-de-2022-SEMNNIMB-Segunda-parte.pdf,2022,01,SEMNNIMB,Segunda Parte,,,historical_mirror,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-tercera-parte,Acta No 01 de 2022 SEMNNIMB Tercera Parte,Acta No 01 de 2022 SEMNNIMB Tercera Parte,https://www.invima.gov.co/biblioteca/download/122575,2022,01,SEMNNIMB,Tercera Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-cuarta-parte,Acta No 01 de 2022 SEMNNIMB Cuarta Parte,Acta No 01 de 2022 SEMNNIMB Cuarta Parte,https://www.invima.gov.co/biblioteca/download/90174,2022,01,SEMNNIMB,Cuarta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-quinta-parte,Acta No 01 de 2022 SEMNNIMB Quinta Parte,Acta No 01 de 2022 SEMNNIMB Quinta Parte,https://www.invima.gov.co/biblioteca/acta_20no_2001_20de_202022_20semnnimb_20quinta_20partepdf,2022,01,SEMNNIMB,Quinta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-sexta-parte,Acta No 01 de 2022 SEMNNIMB Sexta Parte,Acta No 01 de 2022 SEMNNIMB Sexta Parte,https://www.invima.gov.co/biblioteca/download/124449,2022,01,SEMNNIMB,Sexta Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-septima-parte-a,Acta No 01 de 2022 SEMNNIMB Séptima Parte A,Acta No 01 de 2022 SEMNNIMB Séptima Parte A,https://www.invima.gov.co/biblioteca/download/124665,2022,01,SEMNNIMB,Séptima Parte A,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-septima-parte-b,Acta No 01 de 2022 SEMNNIMB Séptima Parte B,Acta No 01 de 2022 SEMNNIMB Séptima Parte B,https://www.invima.gov.co/biblioteca/download/123150,2022,01,SEMNNIMB,Séptima Parte B,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-octava-parte,Acta No 01 de 2022 SEMNNIMB Octava Parte,Acta No 01 de 2022 SEMNNIMB Octava Parte,https://www.invima.gov.co/biblioteca/acta_20no_2001_20de_202022_20semnnimb_20octava_20partepdf,2022,01,SEMNNIMB,Octava Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-01-novena-parte,Acta No 01 de 2022 SEMNNIMB Novena Parte,Acta No 01 de 2022 SEMNNIMB Novena Parte,https://www.invima.gov.co/biblioteca/download/123570,2022,01,SEMNNIMB,Novena Parte,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-02-completa,Acta No 02 de 2022 SEMNNIMB,Acta No 02 de 2022 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-02-2022-sala-especializada-moleculas-nuevas,2022,02,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-03-completa,Acta No 03 de 2022 SEMNNIMB,Acta No 03 de 2022 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-03-2022-sala-especializada-moleculas-nuevas,2022,03,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-04-completa,Acta No 04 de 2022 SEMNNIMB,Acta No 04 de 2022 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-04-2022-sala-especializada-moleculas-nuevas,2022,04,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
2022-semnnimb-05-completa,Acta No 05 de 2022 SEMNNIMB,Acta No 05 de 2022 SEMNNIMB,https://www.invima.gov.co/biblioteca/acta-05-2022-sala-especializada-moleculas-nuevas,2022,05,SEMNNIMB,,,,official,https://www.invima.gov.co/productos-vigilados/medicamentos-y-productos-biologicos/sala-especializada-medicamentos-sintesis,known,,,1,
